AGE,STATUS,EDUCATION,YEARS,PROFESSION,CAPITALGAINS,CAPITALLOSS,HOURSPERWEEK,NATIVE,SALARYVALUE,ZODIAK
43,Private,Some-college,10,Tech-support,0,0,40,United-States,126.14,Libra
46,Private,5th-6th,3,Machine-op-inspct,0,0,40,Mexico,13.79,Leo
35,Private,Assoc-voc,11,Other-service,0,0,40,Puerto-Rico,35.11,Gemini
41,Private,HS-grad,9,Adm-clerical,271449,0,40,United-States,20.78,Scorpio
30,Private,HS-grad,9,Machine-op-inspct,5013,0,40,United-States,372.31,Aquarius
30,Private,Bachelors,13,Sales,2407,0,40,United-States,470.44,Gemini
32,?,7th-8th,4,?,0,0,40,?,29.16,Gemini
48,Private,HS-grad,9,Transport-moving,0,0,40,United-States,28.93,Sagittarius
42,Private,Doctorate,16,Prof-specialty,0,0,40,United-States,134.89,Capricorn
29,Private,Some-college,10,Tech-support,0,0,40,United-States,33.06,Capricorn
36,Private,HS-grad,9,Craft-repair,0,0,40,United-States,12.99,Sagittarius
28,Private,Some-college,10,Adm-clerical,0,0,40,United-States,26.54,Sagittarius
53,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,113.30,Cancer
49,Self-emp-inc,Some-college,10,Exec-managerial,0,0,40,United-States,145.67,Gemini
25,?,Some-college,10,?,0,0,40,United-States,18.79,Sagittarius
19,Private,Some-college,10,Prof-specialty,0,0,40,United-States,19.60,Leo
31,Private,Bachelors,13,Sales,0,0,40,United-States,38.19,Cancer
29,Self-emp-not-inc,Bachelors,13,Sales,0,13670,40,United-States,103.80,Virgo
23,Private,Some-college,10,Machine-op-inspct,0,0,40,United-States,22.45,Taurus
79,Private,Some-college,10,Prof-specialty,0,0,40,United-States,25.88,Libra
27,Private,HS-grad,9,Other-service,0,0,40,Mexico,34.37,Sagittarius
40,Private,Assoc-acdm,12,Adm-clerical,0,0,40,United-States,17.33,Leo
67,?,10th,6,?,0,0,40,United-States,20.42,Aquarius
18,Private,11th,7,Other-service,277261,0,40,United-States,47.96,Scorpio
31,Local-gov,7th-8th,4,Farming-fishing,0,0,40,United-States,31.23,Pisces 
18,Private,HS-grad,9,Sales,0,0,40,United-States,11.07,Sagittarius
52,Private,Bachelors,13,Other-service,0,0,40,Cuba,38.85,Taurus
46,Private,HS-grad,9,Other-service,0,0,40,United-States,43.44,Libra
59,Private,HS-grad,9,Sales,0,0,40,United-States,43.51,Pisces 
44,Private,HS-grad,9,Craft-repair,14344,0,40,United-States,309.52,Cancer
53,Private,HS-grad,9,Sales,0,0,40,United-States,17.15,Virgo
49,Local-gov,HS-grad,9,Protective-serv,0,0,40,United-States,110.44,Aquarius
33,Private,Masters,14,Prof-specialty,0,0,40,United-States,27.70,Cancer
30,Private,9th,5,Sales,0,0,40,United-States,34.82,Leo
43,Federal-gov,Doctorate,16,Prof-specialty,0,0,40,United-States,154.03,Pisces 
57,Private,Assoc-voc,11,Prof-specialty,0,0,40,United-States,35.17,Pisces 
37,Private,Some-college,10,Craft-repair,0,0,40,United-States,38.01,Aquarius
28,Private,Some-college,10,Machine-op-inspct,0,0,40,United-States,14.96,Capricorn
30,Private,HS-grad,9,Sales,0,1573,40,?,12.27,Cancer
34,Local-gov,Bachelors,13,Protective-serv,0,0,40,United-States,150.84,Sagittarius
29,Local-gov,Some-college,10,Handlers-cleaners,0,0,40,United-States,20.45,Sagittarius
48,Self-emp-not-inc,Doctorate,16,Prof-specialty,0,1902,40,United-States,813.40,Gemini
37,Private,Some-college,10,Sales,0,0,40,United-States,84.39,Libra
48,Private,Assoc-acdm,12,Exec-managerial,0,0,40,England,29.01,Libra
32,Federal-gov,HS-grad,9,Other-service,0,0,40,United-States,18.62,Libra
76,Private,Masters,14,Exec-managerial,0,0,40,United-States,168.53,Gemini
44,Private,Bachelors,13,Exec-managerial,260536,0,40,United-States,459.84,Scorpio
47,Self-emp-not-inc,Masters,14,Prof-specialty,0,0,40,United-States,46.61,Sagittarius
20,Private,Some-college,10,Tech-support,0,0,40,United-States,38.49,Sagittarius
29,Private,HS-grad,9,Craft-repair,0,0,40,United-States,39.24,Pisces 
32,Self-emp-inc,HS-grad,9,Craft-repair,290389,0,40,United-States,494.25,Scorpio
17,?,10th,6,?,34095,0,40,United-States,330.46,Sagittarius
30,Private,11th,7,Handlers-cleaners,0,0,40,United-States,11.16,Virgo
31,Local-gov,HS-grad,9,Adm-clerical,0,0,40,United-States,39.40,Leo
42,Private,HS-grad,9,Handlers-cleaners,0,0,40,United-States,40.81,Sagittarius
24,Private,Bachelors,13,Sales,0,0,40,United-States,21.05,Libra
38,Private,Prof-school,15,Prof-specialty,0,0,40,United-States,170.73,Pisces 
56,Self-emp-not-inc,HS-grad,9,Other-service,0,1887,40,Canada,643.85,Taurus
28,Private,Some-college,10,Sales,4064,0,40,United-States,381.09,Libra
36,Private,HS-grad,9,Machine-op-inspct,0,0,40,United-States,15.19,Libra
53,Private,9th,5,Handlers-cleaners,208112,0,40,United-States,21.52,Scorpio
56,Self-emp-inc,Some-college,10,Sales,0,0,40,United-States,39.91,Capricorn
49,Local-gov,Assoc-voc,11,Craft-repair,0,0,40,United-States,140.61,Libra
55,Private,Some-college,10,Sales,0,0,40,United-States,18.22,Aquarius
22,Private,HS-grad,9,Craft-repair,0,0,40,United-States,32.13,Sagittarius
21,Private,Some-college,10,Other-service,0,0,40,United-States,11.99,Cancer
40,Private,Bachelors,13,Exec-managerial,210259,0,40,United-States,26.32,Scorpio
30,Private,Bachelors,13,Exec-managerial,0,0,40,Germany,30.82,Pisces 
29,State-gov,Bachelors,13,Prof-specialty,0,0,40,United-States,142.19,Taurus
19,Private,Some-college,10,Other-service,0,0,40,United-States,30.11,Sagittarius
47,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,108.11,Taurus
20,Private,Some-college,10,Adm-clerical,0,1719,40,United-States,30.34,Gemini
31,Private,Assoc-acdm,12,Adm-clerical,0,0,40,United-States,125.79,Sagittarius
35,?,HS-grad,9,?,0,0,40,United-States,28.27,Capricorn
39,Private,Some-college,10,Craft-repair,0,0,40,United-States,47.56,Capricorn
28,Private,Assoc-acdm,12,Sales,0,0,40,United-States,30.25,Pisces 
24,Private,HS-grad,9,Other-service,0,1762,40,United-States,15.68,Leo
38,Self-emp-not-inc,HS-grad,9,Craft-repair,4386,0,40,United-States,481.70,Gemini
37,Private,Bachelors,13,Sales,0,0,40,United-States,23.28,Sagittarius
46,Private,Assoc-acdm,12,Tech-support,0,0,40,United-States,13.66,Taurus
38,Federal-gov,Masters,14,Prof-specialty,0,0,40,Iran,115.07,Taurus
43,Self-emp-not-inc,HS-grad,9,Craft-repair,0,0,40,United-States,46.40,Pisces 
27,Private,Assoc-voc,11,Adm-clerical,0,0,40,United-States,25.85,Leo
20,Private,Some-college,10,Sales,0,0,40,United-States,16.18,Pisces 
49,Private,Some-college,10,Craft-repair,0,0,40,United-States,126.97,Capricorn
61,Self-emp-inc,HS-grad,9,Craft-repair,0,0,40,United-States,42.42,Aquarius
27,Private,Some-college,10,Sales,0,0,40,United-States,20.01,Pisces 
19,Private,Some-college,10,Other-service,0,0,40,Mexico,32.33,Aquarius
45,Private,Assoc-voc,11,Prof-specialty,0,1564,40,United-States,929.06,Sagittarius
70,Private,Some-college,10,Tech-support,0,0,40,United-States,23.08,Pisces 
31,Private,HS-grad,9,Transport-moving,0,0,40,United-States,27.89,Sagittarius
22,Private,Some-college,10,Other-service,0,0,40,United-States,28.41,Virgo
36,Private,HS-grad,9,Other-service,0,0,40,United-States,43.39,Cancer
64,Private,11th,7,Craft-repair,288259,2179,40,United-States,15.51,Scorpio
43,?,Some-college,10,?,0,0,40,United-States,32.14,Cancer
47,Local-gov,Some-college,10,Adm-clerical,0,0,40,Mexico,15.51,Cancer
34,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,46.97,Aquarius
33,Private,Bachelors,13,Exec-managerial,0,0,40,Philippines,39.20,Gemini
21,Private,HS-grad,9,Craft-repair,0,0,40,United-States,34.93,Libra
52,?,HS-grad,9,?,0,0,40,United-States,131.66,Cancer
48,Private,HS-grad,9,Craft-repair,0,0,40,United-States,34.32,Pisces 
23,Private,Bachelors,13,Handlers-cleaners,0,0,40,United-States,18.15,Pisces 
71,Self-emp-not-inc,Some-college,10,Sales,0,1816,40,United-States,32.08,Aquarius
29,Private,HS-grad,9,Craft-repair,0,0,40,United-States,31.89,Gemini
42,Private,Bachelors,13,Other-service,0,0,40,United-States,45.59,Libra
68,?,1st-4th,2,?,0,0,40,United-States,29.22,Virgo
25,Private,HS-grad,9,Other-service,0,0,40,United-States,44.63,Pisces 
44,Self-emp-inc,Masters,14,Exec-managerial,206168,0,40,United-States,28.39,Scorpio
28,Private,HS-grad,9,Exec-managerial,0,0,40,England,42.94,Libra
45,Self-emp-not-inc,Masters,14,Sales,0,0,40,United-States,155.85,Aquarius
36,Private,Some-college,10,Other-service,0,0,40,Mexico,21.82,Gemini
39,Federal-gov,Assoc-acdm,12,Exec-managerial,0,0,40,United-States,12.04,Capricorn
46,State-gov,Masters,14,Protective-serv,0,0,40,United-States,39.58,Cancer
18,Private,11th,7,Handlers-cleaners,0,0,40,United-States,27.25,Capricorn
66,Local-gov,Assoc-voc,11,Prof-specialty,0,0,40,United-States,39.04,Gemini
27,Private,HS-grad,9,Other-service,260360,1980,40,United-States,48.76,Scorpio
28,State-gov,HS-grad,9,Protective-serv,0,0,40,United-States,38.59,Aquarius
51,Private,Some-college,10,Sales,0,1977,40,United-States,376.68,Libra
27,Private,Bachelors,13,Craft-repair,0,0,40,United-States,27.89,Cancer
28,State-gov,Bachelors,13,Prof-specialty,218089,0,40,United-States,119.35,Scorpio
27,Private,HS-grad,9,Sales,0,0,40,United-States,45.16,Capricorn
21,Private,HS-grad,9,Craft-repair,0,0,40,United-States,13.78,Pisces 
34,Private,HS-grad,9,Handlers-cleaners,247135,0,40,United-States,32.79,Scorpio
18,Private,HS-grad,9,Other-service,0,0,40,United-States,18.98,Leo
33,Private,Bachelors,13,Prof-specialty,0,11359,40,United-States,16.96,Virgo
44,Local-gov,Some-college,10,Exec-managerial,0,0,40,United-States,130.64,Virgo
43,Private,Some-college,10,Adm-clerical,0,0,40,United-States,29.04,Aquarius
30,Private,Some-college,10,Craft-repair,0,0,40,United-States,12.49,Capricorn
40,Private,7th-8th,4,Machine-op-inspct,0,0,40,Mexico,138.25,Gemini
37,Federal-gov,Some-college,10,Adm-clerical,0,0,40,United-States,100.19,Capricorn
34,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,46.21,Libra
41,Self-emp-not-inc,Bachelors,13,Exec-managerial,0,0,40,United-States,12.81,Libra
53,?,Bachelors,13,?,0,0,40,United-States,43.44,Aquarius
31,Private,Masters,14,Prof-specialty,0,0,40,United-States,46.90,Capricorn
58,State-gov,Doctorate,16,Prof-specialty,0,0,40,United-States,196.50,Taurus
38,Private,Some-college,10,Machine-op-inspct,0,0,40,United-States,42.86,Pisces 
24,Private,Some-college,10,Machine-op-inspct,0,0,40,United-States,14.51,Aquarius
41,Local-gov,Bachelors,13,Craft-repair,0,0,40,United-States,21.42,Cancer
47,Private,Some-college,10,Tech-support,0,0,40,United-States,18.83,Virgo
41,Federal-gov,Bachelors,13,Tech-support,0,0,40,United-States,33.28,Capricorn
23,Private,5th-6th,3,Transport-moving,0,0,40,Mexico,11.49,Capricorn
36,Private,Some-college,10,Craft-repair,0,0,40,United-States,17.73,Virgo
40,Federal-gov,Masters,14,Exec-managerial,14084,0,40,United-States,486.78,Cancer
35,Private,Masters,14,Prof-specialty,7298,11152,40,United-States,333.34,Virgo
24,Self-emp-not-inc,HS-grad,9,Sales,247052,0,40,United-States,32.67,Scorpio
26,Private,Masters,14,Prof-specialty,0,1876,40,United-States,17.95,Capricorn
19,?,HS-grad,9,?,0,0,40,Italy,18.50,Cancer
51,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,121.46,Aquarius
42,Local-gov,Some-college,10,Prof-specialty,0,1340,40,United-States,39.12,Virgo
37,State-gov,HS-grad,9,Adm-clerical,0,0,40,United-States,39.60,Libra
18,Private,11th,7,Sales,0,0,40,United-States,46.36,Gemini
36,Private,Bachelors,13,Other-service,7298,0,40,United-States,320.80,Aquarius
35,Private,HS-grad,9,Craft-repair,0,0,40,United-States,44.85,Gemini
58,Self-emp-inc,HS-grad,9,Sales,15024,0,40,United-States,393.38,Cancer
17,Private,11th,7,Sales,209183,0,40,United-States,28.55,Scorpio
44,Local-gov,HS-grad,9,Transport-moving,0,0,40,United-States,19.15,Cancer
37,Private,HS-grad,9,Craft-repair,0,0,40,United-States,188.30,Libra
35,Private,Some-college,10,Sales,0,0,40,United-States,11.99,Sagittarius
60,Private,HS-grad,9,Craft-repair,0,0,40,United-States,27.30,Pisces 
54,Self-emp-inc,7th-8th,4,Machine-op-inspct,0,0,40,United-States,135.15,Taurus
37,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,101.47,Sagittarius
50,Private,Assoc-acdm,12,Sales,0,0,40,United-States,19.32,Cancer
38,Private,Bachelors,13,Sales,0,0,40,Poland,18.38,Taurus
45,Private,Bachelors,13,Prof-specialty,0,0,40,United-States,28.72,Leo
25,Private,10th,6,Craft-repair,0,0,40,United-States,38.28,Leo
31,Private,Some-college,10,Handlers-cleaners,0,0,40,United-States,14.01,Libra
64,?,1st-4th,2,?,0,0,40,United-States,37.65,Pisces 
90,Private,HS-grad,9,Other-service,0,2206,40,United-States,28.34,Virgo
54,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,47.48,Pisces 
53,Local-gov,Preschool,1,Machine-op-inspct,0,0,40,United-States,47.12,Leo
18,Private,HS-grad,9,Sales,0,0,40,United-States,46.38,Taurus
60,?,10th,6,?,0,0,40,United-States,16.24,Gemini
66,Self-emp-not-inc,HS-grad,9,Farming-fishing,221487,0,40,United-States,309.41,Scorpio
75,Private,Assoc-voc,11,Adm-clerical,0,0,40,Columbia,30.40,Leo
65,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,32.60,Aquarius
35,Private,11th,7,Transport-moving,3674,0,40,United-States,370.02,Taurus
41,Private,HS-grad,9,Sales,0,0,40,United-States,49.10,Aquarius
25,Private,Some-college,10,Adm-clerical,0,0,40,United-States,36.57,Libra
33,Private,Some-college,10,Craft-repair,0,0,40,United-States,17.03,Pisces 
28,Private,Prof-school,15,Prof-specialty,0,0,40,United-States,111.21,Leo
59,State-gov,HS-grad,9,Other-service,0,0,40,United-States,38.78,Sagittarius
40,State-gov,Some-college,10,Adm-clerical,0,0,40,United-States,30.51,Leo
41,Private,Bachelors,13,Exec-managerial,0,13717,40,Iran,118.90,Virgo
38,Local-gov,Masters,14,Exec-managerial,0,0,40,United-States,140.64,Gemini
23,Private,HS-grad,9,Transport-moving,265595,0,40,United-States,49.52,Scorpio
40,Private,Bachelors,13,Prof-specialty,0,0,40,United-States,169.57,Libra
41,Self-emp-not-inc,HS-grad,9,Other-service,0,0,40,United-States,35.07,Gemini
24,State-gov,Assoc-acdm,12,Protective-serv,0,0,40,United-States,35.36,Aquarius
20,?,Some-college,10,?,0,0,40,United-States,47.88,Virgo
38,Private,Some-college,10,Craft-repair,0,1741,40,United-States,18.10,Leo
56,Private,HS-grad,9,Adm-clerical,0,0,40,?,49.88,Sagittarius
58,Private,HS-grad,9,Adm-clerical,0,0,40,United-States,137.58,Taurus
32,Private,HS-grad,9,Other-service,0,0,40,United-States,18.08,Taurus
40,Private,Assoc-acdm,12,Tech-support,0,1977,40,United-States,251.53,Aquarius
45,Private,HS-grad,9,Adm-clerical,0,0,40,?,47.15,Leo
41,Private,Prof-school,15,Prof-specialty,0,0,40,United-States,149.87,Gemini
42,Private,Bachelors,13,Adm-clerical,0,0,40,United-States,16.09,Aquarius
59,Local-gov,10th,6,Other-service,0,0,40,United-States,44.68,Cancer
19,Local-gov,Some-college,10,Adm-clerical,0,0,40,United-States,19.25,Pisces 
58,Private,Some-college,10,Transport-moving,0,0,40,United-States,12.57,Pisces 
42,Self-emp-not-inc,HS-grad,9,Farming-fishing,0,0,40,Cambodia,161.87,Taurus
20,Private,HS-grad,9,Other-service,0,0,40,United-States,31.87,Gemini
32,Private,HS-grad,9,Other-service,0,0,40,United-States,34.53,Libra
45,Private,Assoc-voc,11,Exec-managerial,0,0,40,United-States,14.39,Taurus
50,Private,7th-8th,4,Craft-repair,0,0,40,United-States,11.34,Cancer
36,Private,Bachelors,13,Prof-specialty,0,0,40,United-States,29.55,Leo
45,Private,HS-grad,9,Sales,0,0,40,United-States,35.76,Leo
17,Private,11th,7,Other-service,0,0,40,United-States,25.70,Pisces 
59,Private,Some-college,10,Sales,4064,0,40,United-States,489.13,Virgo
26,Private,11th,7,Craft-repair,0,0,40,United-States,36.77,Aquarius
37,Self-emp-inc,Some-college,10,Exec-managerial,0,0,40,Thailand,118.47,Leo
19,?,Some-college,10,?,0,0,40,Canada,15.40,Gemini
64,Private,HS-grad,9,Exec-managerial,0,0,40,United-States,138.32,Capricorn
33,Private,Bachelors,13,Prof-specialty,0,0,40,United-States,23.87,Leo
33,Private,HS-grad,9,Craft-repair,0,0,40,United-States,117.64,Aquarius
61,Private,HS-grad,9,Exec-managerial,0,0,40,United-States,147.66,Sagittarius
17,Private,9th,5,Other-service,1055,0,40,United-States,472.07,Capricorn
50,Self-emp-not-inc,Masters,14,Farming-fishing,2407,0,40,United-States,326.99,Cancer
27,Local-gov,Masters,14,Prof-specialty,223696,0,40,United-States,33.51,Scorpio
30,Private,HS-grad,9,Prof-specialty,0,0,40,United-States,49.94,Sagittarius
43,Private,HS-grad,9,Handlers-cleaners,0,0,40,United-States,16.58,Libra
44,Private,Some-college,10,Craft-repair,7298,0,40,United-States,487.72,Taurus
35,Private,Some-college,10,Exec-managerial,0,0,40,United-States,14.35,Libra
25,Private,Some-college,10,Tech-support,0,0,40,United-States,28.19,Taurus
24,Private,Some-college,10,Machine-op-inspct,7298,0,40,United-States,327.04,Virgo
22,Private,Bachelors,13,Prof-specialty,0,0,40,Germany,18.64,Capricorn
42,Local-gov,Some-college,10,Craft-repair,5178,0,40,United-States,339.62,Pisces 
34,Private,Assoc-acdm,12,Sales,0,0,40,United-States,43.49,Libra
60,Private,Bachelors,13,Prof-specialty,276488,0,40,United-States,17.62,Scorpio
21,Private,HS-grad,9,Handlers-cleaners,0,0,40,United-States,15.86,Gemini
57,Federal-gov,Masters,14,Sales,15024,0,40,United-States,359.24,Sagittarius
41,Private,Prof-school,15,Prof-specialty,0,0,40,United-States,178.51,Capricorn
50,Private,Some-college,10,Other-service,0,0,40,United-States,40.44,Pisces 
25,Private,Bachelors,13,Exec-managerial,0,0,40,United-States,33.11,Pisces 
50,Private,7th-8th,4,Craft-repair,222882,0,40,Ecuador,17.42,Scorpio
36,Private,Bachelors,13,Prof-specialty,0,0,40,United-States,48.72,Taurus
31,Private,HS-grad,9,Prof-specialty,0,0,40,United-States,11.65,Sagittarius
29,Local-gov,Bachelors,13,Protective-serv,0,0,40,United-States,16.89,Pisces 
21,Private,Some-college,10,Sales,0,0,40,United-States,25.23,Cancer
27,Private,Bachelors,13,Tech-support,0,11490,40,United-States,46.98,Virgo
65,Private,HS-grad,9,Transport-moving,210505,0,40,United-States,30.04,Scorpio
37,Self-emp-inc,Bachelors,13,Sales,0,0,40,United-States,33.49,Libra
39,?,Masters,14,?,3464,0,40,?,412.45,Leo
24,Private,HS-grad,9,Craft-repair,0,0,40,United-States,44.93,Cancer
38,Private,HS-grad,9,Sales,0,0,40,United-States,18.38,Capricorn
48,Private,Bachelors,13,Adm-clerical,7688,0,40,United-States,409.79,Cancer
21,Private,Some-college,10,Other-service,0,0,40,United-States,37.65,Gemini
31,Private,HS-grad,9,Transport-moving,0,0,40,United-States,130.46,Leo
55,Private,HS-grad,9,Sales,4386,0,40,United-States,440.84,Pisces 
24,Private,Some-college,10,Adm-clerical,0,0,40,Laos,33.52,Taurus
43,Private,HS-grad,9,Adm-clerical,225748,0,40,United-States,18.08,Scorpio
26,Private,Assoc-acdm,12,Tech-support,0,11833,40,United-States,18.69,Virgo
46,Private,Assoc-acdm,12,Prof-specialty,0,0,40,United-States,23.40,Taurus
35,Private,Assoc-acdm,12,Adm-clerical,0,0,40,United-States,125.47,Cancer
41,Self-emp-inc,Some-college,10,Farming-fishing,0,0,40,United-States,135.29,Capricorn
26,Private,Bachelors,13,Sales,0,0,40,United-States,17.27,Pisces 
34,Private,Masters,14,Exec-managerial,7298,0,40,Taiwan,312.39,Gemini
19,?,Some-college,10,?,0,0,40,United-States,12.94,Cancer
36,Self-emp-not-inc,Bachelors,13,Prof-specialty,0,0,40,United-States,108.59,Leo
22,Private,Some-college,10,Sales,0,0,40,United-States,37.39,Virgo
24,Private,Some-college,10,Machine-op-inspct,0,0,40,United-States,40.13,Aquarius
77,Self-emp-not-inc,Some-college,10,Sales,0,0,40,United-States,18.34,Taurus
22,Private,5th-6th,3,Machine-op-inspct,0,0,40,Mexico,21.30,Pisces 
29,Private,Some-college,10,Tech-support,0,0,40,United-States,34.77,Sagittarius
62,Private,HS-grad,9,Other-service,0,0,40,United-States,18.43,Aquarius
39,Self-emp-not-inc,HS-grad,9,Exec-managerial,0,0,40,United-States,37.79,Cancer
43,Private,Some-college,10,Craft-repair,0,1485,40,United-States,47.81,Pisces 
35,Private,HS-grad,9,Transport-moving,0,0,40,United-States,21.64,Aquarius
29,Private,11th,7,Exec-managerial,0,0,40,United-States,27.89,Leo
76,Self-emp-not-inc,Masters,14,Craft-repair,0,0,40,United-States,49.78,Capricorn
63,Self-emp-not-inc,HS-grad,9,Farming-fishing,0,0,40,United-States,32.58,Gemini
23,?,Assoc-voc,11,?,219928,0,40,United-States,12.05,Scorpio
43,Private,Some-college,10,Prof-specialty,0,1887,40,United-States,251.15,Aquarius
58,Self-emp-not-inc,HS-grad,9,Handlers-cleaners,297010,0,40,United-States,39.67,Scorpio
66,Private,HS-grad,9,Transport-moving,291432,0,40,United-States,365.71,Scorpio
41,Private,Some-college,10,Craft-repair,0,0,40,United-States,29.84,Pisces 
26,Private,Bachelors,13,Adm-clerical,0,0,40,United-States,22.86,Pisces 
47,Private,Assoc-voc,11,Other-service,0,0,40,United-States,24.59,Capricorn
55,Local-gov,10th,6,Adm-clerical,0,0,40,United-States,32.39,Gemini
53,Private,HS-grad,9,Transport-moving,0,0,40,United-States,29.11,Libra
17,Private,5th-6th,3,Other-service,0,0,40,Mexico,49.36,Taurus
30,Private,HS-grad,9,Craft-repair,0,0,40,United-States,40.66,Aquarius
49,Private,Masters,14,Prof-specialty,0,0,40,United-States,28.06,Leo
19,Private,HS-grad,9,Sales,0,0,40,Haiti,37.21,Virgo
45,Private,HS-grad,9,Other-service,258615,0,40,United-States,20.73,Scorpio
26,Private,Assoc-acdm,12,Sales,0,12404,40,United-States,14.15,Virgo
38,Private,Assoc-voc,11,Craft-repair,7298,0,40,United-States,344.71,Leo
36,State-gov,HS-grad,9,Protective-serv,7298,0,40,United-States,425.18,Cancer
33,Private,HS-grad,9,Farming-fishing,0,0,40,United-States,46.25,Aquarius
22,State-gov,Some-college,10,Protective-serv,0,0,40,United-States,37.34,Cancer
