ph,alcohol,quality,country,price,rate,year,decade,type
3.21,9.9,5,Argentina,54.81,79,1960,196,Pinot
3.21,9.9,5,Kazahstan,61.22,36,2007,200,Shiraz
3.22,9.5,5,Australia,112.86,84,1992,199,Pinot
3.54,11,6,Italy,196.02,21,2001,200,Chardonnay
3.53,9.9,5,Italy,132.51,67,1987,198,Pinot
3.44,10.55,7,Kazahstan,58.99,71,1986,198,Pinot
3.54,11,6,Italy,79.42,82,1986,198,Shiraz
3.41,13.64,5,California,131.51,84,1967,196,Pinot
3.44,9.4,5,Argentina,170.26,68,1970,197,Chardonnay
3.45,9.5,5,Kazahstan,69.28,22,1990,199,Pinot
3.24,11.4,8,France,162,81,1968,196,Shiraz
3.1,12.4,5,California,82.68,53,1997,199,Shiraz
3.55,14.2,5,California,76.73,78,1971,197,Merlot
3.36,10.2,5,France,168,84,2009,200,Shiraz
3.39,9.4,6,Montenegro,115.27,99,2004,200,Shiraz
3.17,11.2,7,France,98,49,2002,200,Merlot
3.25,10.4,6,Kazahstan,72.46,90,2013,201,Merlot
3.34,9.5,5,Argentina,101.15,44,1980,198,Merlot
3.3,10.75,6,Kazahstan,66.29,35,1962,196,Pinot
3.34,10.6,7,Italy,254.18,89,2006,200,Pinot
3.56,14.24,6,California,159.37,59,1973,197,Pinot
3.46,9.9,5,Argentina,117.18,39,1965,196,Pinot
3.57,12,5,Italy,111.69,17,1992,199,Shiraz
3.5,14,6,California,65.43,61,2000,200,RIESLING
3.6,10.3,6,Kazahstan,54.38,96,1983,198,Shiraz
3.42,13.68,7,California,71.93,26,1967,196,Chardonnay
3.39,9,5,Montenegro,84.94,46,1973,197,Shiraz
3.21,9.9,6,Kazahstan,47.83,19,2012,201,Shiraz
3.6,10.2,5,Australia,106.05,14,1960,196,Chardonnay
3.42,13.68,6,California,90.13,2,1971,197,RIESLING
3.29,10.8,6,Australia,142.88,42,1970,197,Chardonnay
3.3,13.2,6,California,58.84,30,1994,199,Shiraz
3.33,9.7,5,Italy,67.71,51,2005,200,RIESLING
3.39,10,6,Italy,91.41,51,2010,201,Shiraz
3.34,10.4,5,Montenegro,57.41,66,2006,200,Shiraz
3.42,10.6,5,Argentina,106.59,31,2003,200,RIESLING
3.38,9,4,Kazahstan,16.5,52,1974,197,Merlot
3.38,13.52,6,California,188.59,23,1973,197,Shiraz
3.44,10.2,5,Italy,109.43,29,1967,196,Shiraz
3.32,10.5,5,Montenegro,189.23,7,1980,198,RIESLING
3.38,10.3,6,Kazahstan,74.43,56,1972,197,Pinot
3.42,10.6,5,Italy,102.87,69,1963,196,Chardonnay
3.53,9.25,6,Montenegro,104.88,91,1970,197,Pinot
3.13,9.4,5,Montenegro,24.95,16,1969,196,Pinot
3.53,9.23,6,Italy,174.96,36,2002,200,Shiraz
3.33,10.5,6,France,0,0,2010,201,Pinot
3.53,10.4,6,France,170,85,1964,196,RIESLING
3.44,9.8,5,Kazahstan,45.45,34,1961,196,Chardonnay
3.47,9.7,6,France,90,45,1975,197,RIESLING
3.28,13.12,5,California,46.41,32,1995,199,Pinot
3.38,10.6,6,Australia,60.4,32,2002,200,Pinot
3.36,13.44,6,California,164.36,48,1969,196,Merlot
3.51,10.8,6,France,74,96,1985,198,Shiraz
3.55,9.95,3,Montenegro,184.28,53,1980,198,Shiraz
3.36,11.4,6,Australia,104.73,78,2002,200,Shiraz
3.51,11,6,Argentina,77.43,93,1987,198,RIESLING
3.31,9.8,5,Italy,154.89,92,2014,201,Pinot
3.16,9.4,5,Kazahstan,52.77,54,1992,199,Shiraz
3.26,9.6,5,Argentina,111.93,25,1966,196,Pinot
3.45,11.5,6,France,88,44,1973,197,Chardonnay
3.53,10.8,6,Montenegro,174.13,13,1994,199,Shiraz
3.3,9,6,France,24,12,1996,199,RIESLING
3.45,13.8,6,California,197.29,6,2005,200,Chardonnay
3.26,9.7,5,Italy,44.58,63,1978,197,RIESLING
3.35,10.6,6,Montenegro,165.58,3,1981,198,RIESLING
3.39,10,7,Australia,204.87,55,2007,200,Pinot
3.26,9.7,5,Australia,129.19,49,1960,196,Merlot
3.72,11.4,5,Argentina,140.76,55,1980,198,RIESLING
3.39,12.4,6,Italy,101.19,91,1987,198,Pinot
3.44,10.8,6,France,186,77,1989,198,RIESLING
3.72,11.4,5,Australia,140.15,43,1993,199,Chardonnay
3.52,10.6,5,Argentina,139.52,86,1995,199,Shiraz
3.38,10.3,5,Montenegro,153.86,97,2014,201,Merlot
3.37,9.7,5,Montenegro,63.89,28,2004,200,Pinot
3.5,9.8,4,France,112,56,2003,200,Shiraz
3.35,10.7,5,France,106,53,2011,201,Merlot
3.26,9.3,4,Argentina,99.54,14,1975,197,Shiraz
3.39,10.6,5,Australia,75.37,20,1978,197,Shiraz
3.9,13.1,4,Kazahstan,19.2,47,1998,199,Chardonnay
3.39,10.6,5,Argentina,195.71,47,1970,197,RIESLING
3.4,10.2,3,Argentina,106.93,16,2006,200,Chardonnay
3.23,9.7,7,Australia,188.46,38,1965,196,Pinot
3.16,8.8,5,Montenegro,108.89,58,2006,200,Chardonnay
3.2,10.8,7,Australia,286.13,10,1995,199,Chardonnay
3.49,9.2,5,Australia,110.41,33,1968,196,Pinot
3.16,8.8,5,Italy,146.63,87,1999,199,Shiraz
3.38,11,5,Argentina,74.55,96,1968,196,RIESLING
3.38,11.1,6,Montenegro,187.57,61,1994,199,RIESLING
2.88,9.7,5,Italy,82.49,26,1965,196,Chardonnay
3.31,13.24,3,California,178.43,78,1988,198,RIESLING
3.37,11.5,7,Italy,266.58,73,1989,198,Shiraz
3.31,9.2,4,Montenegro,94.24,90,2002,200,Pinot
3.3,10,7,Montenegro,162.87,65,1979,197,RIESLING
3.41,9.7,5,Australia,109.11,18,1978,197,RIESLING
3.63,13,5,Argentina,45.45,4,2009,200,Pinot
3.41,9.7,5,Italy,128.78,34,2003,200,RIESLING
3.34,10.8,6,Argentina,152.86,60,1977,197,Shiraz
3.16,9.1,4,Kazahstan,11.23,12,1992,199,Chardonnay
3.41,10.4,6,Italy,147.85,14,1960,196,Shiraz
3.31,10.5,7,Australia,194.13,96,2002,200,Shiraz
3.39,10.5,5,Australia,67.14,30,1976,197,Pinot
3.41,9,5,Kazahstan,54.55,30,1966,196,Pinot
3.3,10.55,6,Argentina,88.85,13,1964,196,Merlot
3.5,10.9,6,Kazahstan,60.73,89,2001,200,RIESLING
3.21,10.9,6,France,62,31,1995,199,Shiraz
3.41,13.64,5,California,121.15,44,1998,199,RIESLING
3.35,11.6,7,Montenegro,130.77,55,1971,197,Chardonnay
3.33,11,7,Argentina,78.33,38,2004,200,RIESLING
3.24,11.7,7,Italy,280.38,76,1982,198,Chardonnay
3.4,9.7,5,Montenegro,181.86,15,2009,200,Pinot
3.42,10.2,6,France,154,77,1969,196,Pinot
3.53,10.5,6,Montenegro,155.55,83,1960,196,Chardonnay
3.4,9.7,5,Montenegro,117.18,90,1988,198,RIESLING
3.4,9.8,5,Australia,132.81,47,1993,199,Pinot
3.16,9.6,6,Kazahstan,55.28,43,2000,200,Pinot
3.32,11.1,6,Italy,156.97,26,1960,196,Pinot
3.38,11.7,5,Argentina,105.87,23,2014,201,Merlot
3.42,10.5,5,Australia,120.25,17,1968,196,Merlot
3.4,9.8,5,Kazahstan,59.07,77,1998,199,Merlot
3.16,12.64,6,California,67.82,25,1967,196,Shiraz
3.23,11.3,7,France,126,63,2003,200,Pinot
3.32,11.07,6,Australia,84.05,32,2004,200,Shiraz
3.41,13.64,5,California,109.93,67,2010,201,Chardonnay
3.53,11.1,5,Australia,183.36,96,1973,197,Chardonnay
3.15,8.5,5,France,154,65,1984,198,Pinot
3.18,9,6,Australia,76.46,36,1974,197,Shiraz
3.18,9,6,Montenegro,70.92,34,1996,199,Shiraz
3.42,10.1,7,Kazahstan,70.06,20,1969,196,Merlot
3.48,11.7,6,Italy,105.64,79,1994,199,RIESLING
3.26,9.9,6,France,172,86,1964,196,RIESLING
3.33,11.3,5,Kazahstan,64.06,33,2014,201,Chardonnay
3.31,11,5,France,34,17,2000,200,Chardonnay
3.3,11.2,5,France,76,38,2009,200,Chardonnay
3.41,12.1,6,Australia,125.84,14,1967,196,Chardonnay
3.26,9.6,6,Australia,187.53,74,1986,198,Chardonnay
3.75,10.5,4,Montenegro,11.27,11,2006,200,Chardonnay
3.34,9.4,5,Kazahstan,55.34,14,1996,199,Shiraz
3.35,9.5,5,France,172,86,1979,197,Pinot
3.27,9.9,5,Australia,111.88,50,1997,199,Pinot
3.16,9.8,5,Kazahstan,56.03,55,1980,198,Merlot
3.35,13.4,7,California,99.25,62,1967,196,Shiraz
3.2,9.6,5,Argentina,146.17,71,1973,197,Merlot
3.56,9.4,5,Kazahstan,72.75,40,1997,199,RIESLING
3.2,12.8,5,California,110.85,82,2000,200,Chardonnay
3.44,9.3,5,Argentina,165.04,52,1963,196,Pinot
3.04,10.1,5,Kazahstan,69.89,37,1981,198,Merlot
3.22,12.88,6,California,121.54,94,1967,196,Shiraz
3.56,10.6,6,France,148,74,1981,198,Chardonnay
3.5,11.9,6,Australia,156.41,11,1999,199,RIESLING
3.54,10.7,6,Argentina,114.33,98,1998,199,Merlot
3.01,11.8,7,Italy,240.59,32,1992,199,Merlot
3.54,10.7,6,Australia,186.21,47,1964,196,Shiraz
3.28,11.8,7,Italy,244.04,55,2008,200,Chardonnay
3.43,13.72,6,California,176.42,48,1979,197,Chardonnay
3.23,10,8,Kazahstan,48.95,1,1995,199,RIESLING
3.44,11.9,6,Montenegro,106.07,9,2006,200,RIESLING
3.25,9.9,5,Montenegro,127.41,1,1992,199,Merlot
3.25,9.9,5,France,50,25,1966,196,Pinot
3.42,11.1,6,Italy,171.87,92,1965,196,Merlot
3.28,9.9,5,Australia,149.4,32,1976,197,Chardonnay
3.57,13,7,Argentina,208.35,44,2005,200,Pinot
3.31,9.55,5,Argentina,136.73,81,2008,200,Pinot
3.31,9.55,6,Kazahstan,66.08,51,2011,201,RIESLING
3.32,9.2,5,Italy,173.82,42,1967,196,Chardonnay
3.36,9.5,5,Montenegro,60.71,95,1969,196,Merlot
3.3,10.2,5,France,46,23,1966,196,RIESLING
3.17,9.8,5,Australia,96.55,64,1996,199,Merlot
3.58,12.5,6,Montenegro,88.08,43,1991,199,RIESLING
3.1,9.7,5,Kazahstan,51.28,23,1997,199,Merlot
3.35,10.3,5,Australia,106.71,50,1979,197,RIESLING
3.22,9.4,5,Australia,54.21,97,1985,198,Merlot
3.3,9.6,5,Montenegro,156.21,58,2010,201,Merlot
3.3,13.2,5,California,52.56,66,2014,201,Chardonnay
3.19,9.2,5,Kazahstan,68.08,8,1968,196,RIESLING
3.21,12.84,6,California,134.5,26,1996,199,RIESLING
3.19,9.5,5,Australia,103.07,61,1965,196,Chardonnay
3.3,9.9,5,Australia,104.94,44,1995,199,Chardonnay
3.3,9.9,5,France,64,32,1976,197,Chardonnay
3.38,9.6,5,France,198,99,2013,201,Merlot
3.36,10.8,6,Australia,144.79,75,1994,199,Shiraz
3.39,9.7,5,Argentina,134.3,93,1986,198,RIESLING
3.36,13.44,6,California,61.66,91,1984,198,Chardonnay
3.29,9.9,6,Argentina,53.61,39,1995,199,Shiraz
3.71,12.2,6,Kazahstan,66.58,85,1987,198,Chardonnay
3.42,13.68,5,California,103.04,89,2010,201,RIESLING
3.28,10,6,Australia,22.22,87,1985,198,Merlot
3.11,12.44,5,California,141.88,58,1962,196,RIESLING
3.32,9.8,3,Australia,109.61,56,1996,199,Chardonnay
3.24,9.3,5,Kazahstan,63.53,56,1993,199,RIESLING
3,9.2,5,Argentina,136.69,30,2010,201,Chardonnay
3.21,12.84,6,California,93.15,28,1993,199,Chardonnay
3,9.2,5,Italy,111.96,56,2003,200,RIESLING
2.74,9.4,4,Kazahstan,11.56,96,1992,199,RIESLING
3.27,9.8,6,Argentina,63.08,11,1970,197,Chardonnay
3.24,12.96,5,California,170.07,4,2003,200,Pinot
3.18,9.5,5,France,138,69,2001,200,Shiraz
3.32,9,6,Montenegro,123.37,40,1976,197,Pinot
3.46,11.8,6,Australia,115.9,96,1987,198,Merlot
3.07,10.03,6,Italy,52.38,68,1971,197,Merlot
3.36,10.1,5,Argentina,111.77,91,1988,198,Shiraz
3.37,9,6,Australia,133.82,88,2013,201,Shiraz
3.07,10.03,6,Kazahstan,66.38,82,1987,198,RIESLING
3.28,9.5,5,Australia,103.92,72,1972,197,Shiraz
3.14,10.9,6,Argentina,12.02,42,1977,197,Shiraz
3.08,9.8,6,Australia,52.9,1,2008,200,Pinot
3.6,11.1,6,Montenegro,140.04,36,1965,196,Shiraz
3.36,10.1,5,Kazahstan,56.57,18,1967,196,Merlot
3.36,10.1,5,Kazahstan,52,65,1974,197,Shiraz
3.35,10,5,Kazahstan,63.59,58,1992,199,Merlot
3.37,10.3,5,Argentina,123.86,81,2005,200,Shiraz
3.37,10.3,5,Argentina,122.86,54,1965,196,Pinot
3.32,11.8,6,Kazahstan,60.47,17,1981,198,Merlot
3.34,10,5,Australia,141.77,71,1982,198,RIESLING
3.34,9.5,5,Argentina,111.93,82,2009,200,Shiraz
3.34,9.5,5,France,36,69,1989,198,RIESLING
3.52,11.4,5,Australia,151.2,44,1995,199,Pinot
3.09,11,5,Kazahstan,50.35,83,1986,198,Merlot
3.36,13.44,6,California,123.61,64,1963,196,Pinot
3.37,10.4,6,Montenegro,54.57,94,1987,198,Chardonnay
3.36,10.5,6,Kazahstan,59.56,25,2014,201,RIESLING
3.36,9.5,5,Montenegro,63.39,89,1987,198,Chardonnay
3.36,9.5,5,Australia,118.17,45,1968,196,Chardonnay
3.38,12.6,6,France,72,36,1976,197,Merlot
3.17,9.2,4,Montenegro,54.31,17,1978,197,RIESLING
3.39,10,5,Montenegro,150.83,84,1981,198,Shiraz
3.18,9.6,5,Italy,173.02,89,1979,197,Pinot
3.09,9.7,6,Australia,177.63,60,2011,201,Pinot
3.26,9.2,5,France,38,19,1973,197,RIESLING
3.37,9,4,Italy,73.84,79,1975,197,Pinot
3.35,12.8,8,France,20,10,2013,201,RIESLING
3.29,9.8,6,Italy,118.17,34,2010,201,Chardonnay
3.34,9.3,5,France,8,4,1977,197,Pinot
3.39,10.6,6,Kazahstan,55.75,51,1971,197,Chardonnay
3.39,10.6,6,Kazahstan,50.64,10,2002,200,Pinot
3.39,10.6,6,Kazahstan,62.63,85,1988,198,RIESLING
3.39,10.6,6,Kazahstan,66.49,42,1999,199,Merlot
3.18,12.72,7,California,49.03,44,2000,200,Merlot
3.18,11.4,5,Kazahstan,47.32,29,1971,197,Merlot
4.01,16.04,6,California,78.61,89,1982,198,Chardonnay
3.26,10.1,5,Kazahstan,41.46,47,1994,199,Shiraz
2.9,9.1,6,Kazahstan,44.88,72,1997,199,RIESLING
3.26,9.8,6,Australia,191.69,67,1962,196,Chardonnay
3.18,11.9,6,France,26,13,1975,197,Merlot
4.01,12.5,6,France,34,17,1974,197,Shiraz
3.26,13.04,6,California,97.67,74,2002,200,Merlot
3.38,13.52,7,California,53.66,86,2011,201,Pinot
3.4,10.1,6,Kazahstan,71.88,71,1988,198,Chardonnay
3.4,10.1,6,Italy,146.39,37,1965,196,Chardonnay
3.34,10.5,5,Montenegro,46.2,87,1961,196,Chardonnay
3.33,12.8,6,Italy,138.66,36,1964,196,RIESLING
3.3,13.2,5,California,95.1,27,1962,196,Pinot
3.28,13.12,5,California,169.89,98,1987,198,RIESLING
3.29,13.16,5,California,60.45,70,1968,196,Chardonnay
3.36,9.1,4,Montenegro,119.64,100,1997,199,Shiraz
3.29,10.1,5,Australia,150.45,65,1996,199,Merlot
3.3,9.8,5,Kazahstan,75.46,71,1980,198,Pinot
3.05,12.2,6,California,111.41,37,2004,200,Chardonnay
3.12,9.2,5,Australia,87.17,47,1966,196,Pinot
3.3,11.2,6,Montenegro,75.36,82,1980,198,Chardonnay
3.6,11.7,6,Argentina,191.42,98,2003,200,Shiraz
3.78,12.5,6,Italy,189.88,64,1973,197,RIESLING
3.5,10.9,3,Italy,85.52,11,1990,199,Shiraz
3.45,13.8,6,California,151.87,80,1968,196,Shiraz
3.35,13.4,6,California,113.33,0,1971,197,Pinot
3.2,9.5,5,France,94,47,2001,200,Chardonnay
3.2,9.5,5,Montenegro,187.17,53,2005,200,RIESLING
3.29,10.9,6,Kazahstan,55.96,14,1980,198,Shiraz
3.62,12.4,6,Argentina,149.33,99,1989,198,Pinot
3.29,13.16,6,California,162.88,74,1987,198,Pinot
3.36,11,5,France,58,29,1971,197,Merlot
3.3,10.2,5,Montenegro,71.08,68,2010,201,Chardonnay
3.22,13,5,Australia,59.22,68,1972,197,Merlot
3.35,12.4,6,Montenegro,69.15,44,2011,201,Pinot
3.15,10.5,5,Australia,106.87,32,1992,199,Chardonnay
3.39,10.9,5,Italy,141.09,72,2000,200,Pinot
3.26,10.2,6,Kazahstan,68.58,99,1972,197,Merlot
3.33,10.9,6,France,190,95,2002,200,RIESLING
3.37,10.4,6,France,70,35,1994,199,RIESLING
3.37,10.4,6,Argentina,148.97,54,2010,201,Merlot
3.14,11.5,7,Montenegro,163.18,18,2006,200,Pinot
3.24,9.5,6,France,42,21,1981,198,Chardonnay
3.35,13.4,6,California,192.02,27,2000,200,Shiraz
3.51,11.4,4,Montenegro,15.49,8,2014,201,Merlot
3.24,9.5,6,France,192,65,1983,198,Merlot
3.24,11.2,6,Italy,114.17,54,1965,196,Shiraz
3.1,9.3,5,Montenegro,158.04,78,1993,199,Merlot
3.5,11.2,5,France,112,56,1994,199,Chardonnay
3.7,14,6,Australia,145.45,18,1979,197,Pinot
3.52,12.3,7,Italy,333.94,69,2004,200,Shiraz
3.5,14,8,Australia,158.8,77,1981,198,Pinot
3.47,9.5,6,France,40,20,1994,199,Merlot
3.1,11.4,6,Italy,144.24,74,1985,198,Pinot
3.38,13.52,6,California,142.25,99,1995,199,Merlot
3.31,10.4,4,France,198,99,1969,196,Shiraz
3.15,12.6,5,California,68.64,97,1985,198,Merlot
3.29,9.8,4,Argentina,79.65,65,1972,197,RIESLING
3.02,12.08,5,California,180.84,88,1984,198,Chardonnay
3.44,11.3,6,Montenegro,87.51,87,2009,200,Pinot
3.44,11.3,6,Kazahstan,65.84,65,2012,201,Chardonnay
3.32,11,6,Argentina,150.41,76,1985,198,Chardonnay
3.47,11,5,France,88,44,1980,198,Shiraz
3.4,13.6,5,California,51.4,69,1968,196,Pinot
3.12,9.2,6,Kazahstan,15.08,98,2012,201,Merlot
3.43,9.5,5,Montenegro,181.67,32,1967,196,Chardonnay
3.28,9.8,5,Australia,135.55,84,1984,198,Shiraz
3.4,13.6,6,California,165.09,78,1983,198,Chardonnay
3.4,10.9,6,Argentina,72.48,62,2010,201,Chardonnay
3.41,11.1,6,Argentina,58.05,67,1986,198,Chardonnay
3.49,10.5,5,France,74,37,1974,197,RIESLING
3.12,10,5,Montenegro,190.96,46,1974,197,Shiraz
3.49,10.5,5,France,98,49,2003,200,RIESLING
3.33,10.3,6,Australia,57.24,77,2004,200,RIESLING
3.37,9.5,5,Kazahstan,42.55,52,1996,199,Chardonnay
3.22,12.2,6,Italy,138.14,83,1982,198,Chardonnay
3.1,9.3,5,Australia,100.31,42,1973,197,Chardonnay
3.18,13,5,Argentina,64.94,30,1970,197,Shiraz
3.34,9.7,4,Argentina,44.61,38,1990,199,Shiraz
3.05,12.2,4,California,78.48,55,1996,199,Shiraz
3.39,12.8,6,Montenegro,106.45,4,1978,197,Pinot
3.26,9.4,6,France,98,49,1961,196,Shiraz
3.62,11.5,4,Montenegro,105.42,2,1979,197,Shiraz
3.17,9.8,6,France,196,98,2004,200,Merlot
3.39,12.8,6,Montenegro,105.44,79,1988,198,RIESLING
3.3,9.6,4,Montenegro,19.23,11,2012,201,Shiraz
3.4,9.5,5,Kazahstan,61.44,67,1992,199,Shiraz
3.38,10.8,5,Kazahstan,65.29,65,2008,200,Chardonnay
3.4,13.6,5,California,71.29,27,2001,200,Shiraz
3.26,11.8,6,Argentina,35.43,33,1979,197,Pinot
3.68,13.6,7,Argentina,89.36,4,1990,199,Chardonnay
3.16,9,5,Australia,84.46,80,1969,196,RIESLING
3.27,9.6,5,Argentina,148.88,98,1982,198,Shiraz
3.02,12.08,5,California,197.1,15,1979,197,Chardonnay
3.15,9.4,5,Montenegro,131.69,87,2012,201,Chardonnay
3.07,10.3,6,Italy,105.19,31,1974,197,Chardonnay
3.23,12,6,Montenegro,183.81,5,1978,197,Merlot
3.26,9.6,6,Montenegro,199.28,100,1988,198,RIESLING
3.28,11.5,6,Argentina,101.51,94,1990,199,Merlot
3.28,11.5,6,Montenegro,112.48,26,1973,197,RIESLING
3.2,10.9,6,Montenegro,79.84,87,2005,200,Chardonnay
3.24,10.6,6,Montenegro,73.62,99,1984,198,RIESLING
3.23,12,6,Argentina,156.22,2,2009,200,RIESLING
3.29,9.5,6,Montenegro,164.21,92,2014,201,Merlot
3.26,11.3,6,Australia,146.31,93,1983,198,Pinot
3.1,10.4,6,Italy,121.17,73,1990,199,Chardonnay
3.15,12.6,6,California,79.3,5,1980,198,Pinot
3.21,9.4,6,Argentina,191.85,27,2004,200,Merlot
3.35,10.4,6,Argentina,95.11,18,1963,196,Merlot
3.32,9.3,5,Kazahstan,67.61,97,1971,197,Merlot
3.35,10.4,6,Argentina,158.58,88,1960,196,Chardonnay
3.31,13.24,6,California,19.89,90,1984,198,Pinot
3.45,13.8,7,California,141.19,46,1978,197,Merlot
3.4,13.6,7,California,186.54,70,1986,198,Shiraz
3.35,10,5,Australia,180.2,19,2011,201,Shiraz
3.07,9.2,7,Australia,290.7,50,1971,197,Merlot
3.4,13.6,7,California,134.62,84,1990,199,Chardonnay
3.34,10.6,7,Australia,230.08,77,1980,198,Chardonnay
3.14,9.4,5,Italy,122.48,86,1973,197,Pinot
3.35,11.7,8,Kazahstan,72.27,47,2012,201,RIESLING
3.27,11.2,7,Montenegro,186.7,35,1995,199,Pinot
3.16,12.64,6,California,129.5,85,1987,198,Shiraz
3.21,12.84,6,California,110.43,88,1996,199,Pinot
3.15,10.9,6,Italy,172.39,42,2001,200,RIESLING
3.47,13.88,5,California,54.6,93,1972,197,Shiraz
3.16,9.8,6,Italy,120.39,63,2009,200,RIESLING
3.1,12.4,6,California,39,8,1978,197,Chardonnay
3.15,10.5,6,Montenegro,175.89,17,2012,201,Shiraz
3.21,9.5,6,Kazahstan,64.38,46,2012,201,Pinot
3.52,9.5,6,Italy,137.61,26,1991,199,RIESLING
3.22,9.5,6,Italy,107.2,32,2004,200,Pinot
3.56,10.8,5,Kazahstan,54.66,77,1985,198,Pinot
3.52,12.4,7,Montenegro,72.99,66,2006,200,RIESLING
3.56,10.8,5,Italy,110.11,98,2010,201,Chardonnay
3.28,13.12,6,California,99.91,65,1991,199,RIESLING
3.34,10,4,Argentina,6.2,34,1978,197,Pinot
3.36,10.9,5,France,26,13,1975,197,Chardonnay
3.33,11.9,6,Italy,100.7,61,2004,200,Pinot
3.52,12.2,5,Australia,87.49,87,1997,199,RIESLING
3.33,11.9,6,Montenegro,51.42,75,1974,197,Shiraz
3.36,10.9,5,France,172,99,1986,198,Pinot
3.29,13.16,5,California,100.73,90,1973,197,RIESLING
3.27,11,6,Montenegro,141.58,75,1989,198,Pinot
3.27,11,6,Italy,55.33,96,1986,198,Pinot
3.68,11.4,5,Kazahstan,47.34,67,1994,199,Merlot
3.52,12.3,7,France,144,70,1985,198,Pinot
3.35,12.7,7,Argentina,92.63,39,2010,201,Pinot
3.26,10,4,Italy,68.43,9,1967,196,Shiraz
3.61,11.5,6,Australia,50.06,98,1985,198,RIESLING
3.46,9.5,6,Argentina,97.82,46,1992,199,RIESLING
3.46,13.84,6,California,55.22,84,1963,196,RIESLING
3.26,10.6,6,Argentina,15.42,88,1988,198,Chardonnay
3.27,12.3,6,Argentina,150.33,50,2000,200,RIESLING
3.42,10.8,6,Argentina,68.95,31,1965,196,Merlot
3.2,12.8,6,California,141.22,87,1973,197,Pinot
3.32,13.28,6,California,126.15,98,1969,196,RIESLING
3.21,12.84,6,California,116.27,75,1987,198,Merlot
3.32,12.4,7,Kazahstan,72.76,77,1967,196,Pinot
2.94,10.2,5,Italy,56.07,2,2007,200,Chardonnay
3.01,9.4,5,France,100,50,1990,199,Pinot
3.29,10,5,France,96,48,1977,197,RIESLING
3.29,10,5,Montenegro,90.58,57,1990,199,Pinot
3.58,12.3,7,Australia,201.8,98,2000,200,RIESLING
3.21,10.2,6,France,60,30,1965,196,Pinot
3.15,10.4,7,Australia,177.24,19,1965,196,Chardonnay
3.06,11.3,6,Montenegro,28.19,70,1983,198,RIESLING
3.07,10,7,Australia,284.79,63,2004,200,Merlot
3.16,10.8,5,France,158,79,1981,198,Shiraz
3.42,13.68,6,California,109.23,87,1961,196,Chardonnay
3.2,12,7,Australia,282.16,58,2014,201,Pinot
3.32,13.4,7,Italy,234.11,68,1988,198,Merlot
3.15,9.8,5,Argentina,189.09,65,1963,196,Shiraz
3.2,12.8,6,California,61.11,40,1995,199,Merlot
3.59,11.4,6,France,30,90,1988,198,Pinot
3.23,11.1,6,Argentina,64.99,1,1992,199,Shiraz
3.15,9.8,5,Australia,104.75,6,1992,199,Merlot
3.46,12.5,6,Australia,107.45,47,1992,199,Pinot
3.3,12.8,7,Montenegro,126,94,2014,201,Pinot
3.39,13.56,6,California,114.73,18,1978,197,Chardonnay
